24193,24193
49644,49644
5223,5223
47822,47822
43091,43091
30410,30410
8702,8702
25405,25405
14686,14686
39618,39618
18089,18089
36828,36828
14134,14134
2112,2112
23914,23914
28052,28052
41969,41969
42436,42436
16020,16020
43726,43726
3205,3205
12045,12045
33554,33554
37919,37919
39615,39615
48187,48187
19374,19374
7729,7729
32871,32871
46908,46908
28546,28546
14644,14644
37660,37660
25758,25758
11597,11597
31196,31196
25536,25536
25529,25529
9011,9011
39771,39771
7050,7050
39049,39049
2812,2812
14915,14915
37746,37746
1766,1766
47091,47091
35729,35729
41671,41671
20377,20377
8189,8189
34198,34198
44656,44656
48391,48391
4234,4234
1830,1830
5592,5592
41940,41940
18888,18888
3270,3270
14943,14943
23584,23584
25599,25599
2670,2670
1870,1870
45118,45118
36309,36309
23433,23433
22379,22379
5251,5251
31551,31551
35112,35112
27502,27502
10717,10717
18407,18407
10731,10731
18684,18684
26241,26241
24232,24232
45396,45396
29933,29933
2306,2306
21878,21878
5263,5263
32565,32565
20545,20545
6579,6579
43041,43041
17514,17514
8223,8223
47795,47795
38537,38537
30997,30997
35875,35875
3899,3899
18919,18919
7793,7793
32254,32254
20536,20536
14346,14346
11293,11293
10096,10096
15964,15964
27210,27210
49051,49051
18797,18797
31290,31290
4368,4368
20635,20635
20719,20719
1898,1898
12487,12487
40982,40982
15919,15919
16051,16051
1443,1443
38277,38277
46073,46073
45257,45257
8779,8779
40298,40298
20707,20707
43130,43130
38946,38946
2002,2002
2182,2182
28423,28423
29113,29113
18450,18450
15487,15487
33213,33213
10700,10700
14986,14986
13666,13666
5838,5838
20119,20119
9007,9007
8176,8176
17890,17890
24417,24417
15280,15280
4825,4825
30755,30755
22010,22010
26627,26627
49491,49491
40689,40689
14482,14482
18640,18640
15511,15511
208,208
16741,16741
2052,2052
39309,39309
3704,3704
12287,12287
35468,35468
12559,12559
25770,25770
20234,20234
19476,19476
30697,30697
18642,18642
3423,3423
11863,11863
47086,47086
16757,16757
16120,16120
17114,17114
3647,3647
31760,31760
43853,43853
48085,48085
30654,30654
23462,23462
9689,9689
9228,9228
20248,20248
27742,27742
22440,22440
25518,25518
45893,45893
19949,19949
6242,6242
1276,1276
49530,49530
48335,48335
34489,34489
9123,9123
23560,23560
4478,4478
47005,47005
20760,20760
10930,10930
37296,37296
10393,10393
34258,34258
45846,45846
3037,3037
15350,15350
24945,24945
48803,48803
46642,46642
4418,4418
27676,27676
20136,20136
2348,2348
35087,35087
48144,48144
19787,19787
25534,25534
3498,3498
46590,46590
40288,40288
44518,44518
21149,21149
38567,38567
4614,4614
27448,27448
9290,9290
35918,35918
21232,21232
34510,34510
40294,40294
36834,36834
31365,31365
21347,21347
18262,18262
18173,18173
14193,14193
40581,40581
22353,22353
45352,45352
8799,8799
21097,21097
